Country Code,Country,Date,Core_CPI
NOR,Norway,1988-01-01,6.6
NZL,New Zealand,1988-01-01,6.8
POL,Poland,1988-01-01,68.8
PRT,Portugal,1988-01-01,12.4
SGP,Singapore,1988-01-01,0.4
SWE,Sweden,1988-01-01,6.1
TCD,Chad,1988-01-01,14.7
THA,Thailand,1988-01-01,3.6
TWN,"Taiwan, China",1988-01-01,2.3
USA,United States,1988-01-01,4.4
VEN,"Venezuela, RB",1988-01-01,37.5
AUS,Australia,1989-01-01,7.5
AUT,Austria,1989-01-01,2.7
BEL,Belgium,1989-01-01,2.6
CAN,Canada,1989-01-01,5.4
CHE,Switzerland,1989-01-01,3.2
DEU,Germany,1989-01-01,2.7
DJI,Djibouti,1989-01-01,3.6
DNK,Denmark,1989-01-01,4.7
ESP,Spain,1989-01-01,6.8
FIN,Finland,1989-01-01,7.5
FRA,France,1989-01-01,3.2
GBR,United Kingdom,1989-01-01,8.3
GRC,Greece,1989-01-01,12.8
IRL,Ireland,1989-01-01,3.9
ISR,Israel,1989-01-01,18.5
ITA,Italy,1989-01-01,6.4
JPN,Japan,1989-01-01,2.5
KOR,"Korea, Rep.",1989-01-01,6.0
LUX,Luxembourg,1989-01-01,3.2
MEX,Mexico,1989-01-01,20.0
NLD,Netherlands,1989-01-01,1.2
NOR,Norway,1989-01-01,4.8
NZL,New Zealand,1989-01-01,5.3
POL,Poland,1989-01-01,155.6
PRT,Portugal,1989-01-01,14.6
SGP,Singapore,1989-01-01,-0.1
SLV,El Salvador,1989-01-01,11.6
SWE,Sweden,1989-01-01,6.3
TCD,Chad,1989-01-01,24.2
THA,Thailand,1989-01-01,4.1
TWN,"Taiwan, China",1989-01-01,4.0
USA,United States,1989-01-01,4.5
VEN,"Venezuela, RB",1989-01-01,78.8
AUS,Australia,1990-01-01,7.5
AUT,Austria,1990-01-01,2.9
BEL,Belgium,1990-01-01,2.9
CAN,Canada,1990-01-01,4.5
CHE,Switzerland,1990-01-01,5.3
CYP,Cyprus,1990-01-01,-5.5
DEU,Germany,1990-01-01,2.5
DJI,Djibouti,1990-01-01,5.7
DNK,Denmark,1990-01-01,3.4
ESP,Spain,1990-01-01,6.7
FIN,Finland,1990-01-01,6.5
FRA,France,1990-01-01,3.1
GBR,United Kingdom,1990-01-01,9.7
GRC,Greece,1990-01-01,18.5
IRL,Ireland,1990-01-01,3.8
ISR,Israel,1990-01-01,18.1
ITA,Italy,1990-01-01,6.2
JPN,Japan,1990-01-01,2.6
KOR,"Korea, Rep.",1990-01-01,8.4
LUX,Luxembourg,1990-01-01,3.1
MEX,Mexico,1990-01-01,26.3
NLD,Netherlands,1990-01-01,2.1
NOR,Norway,1990-01-01,3.9
NZL,New Zealand,1990-01-01,5.9
POL,Poland,1990-01-01,665.9
PRT,Portugal,1990-01-01,13.3
SGP,Singapore,1990-01-01,-1.0
SLV,El Salvador,1990-01-01,23.0
SWE,Sweden,1990-01-01,8.8
TCD,Chad,1990-01-01,8.6
THA,Thailand,1990-01-01,4.8
TWN,"Taiwan, China",1990-01-01,4.6
USA,United States,1990-01-01,5.0
VEN,"Venezuela, RB",1990-01-01,22.0
