Country Code,Country,Date,Core_CPI
BEL,Belgium,1978-10-01,35.4
CAN,Canada,1978-10-01,31.0
CHE,Switzerland,1978-10-01,50.5
DEU,Germany,1978-10-01,45.5
DNK,Denmark,1978-10-01,29.8
ESP,Spain,1978-10-01,15.7
FIN,Finland,1978-10-01,29.0
FRA,France,1978-10-01,30.8
GBR,United Kingdom,1978-10-01,24.6
GRC,Greece,1978-10-01,3.8
IRL,Ireland,1978-10-01,19.7
ISR,Israel,1978-10-01,0.0
ITA,Italy,1978-10-01,14.9
JPN,Japan,1978-10-01,68.3
LUX,Luxembourg,1978-10-01,35.0
NLD,Netherlands,1978-10-01,41.2
