Country Code,Country,Date,Producer_Price_Inflation
HUN,Hungary,1986-01-01,6.9
IND,India,1986-01-01,5.2
IRL,Ireland,1986-01-01,0.0
ISR,Israel,1986-01-01,45.1
ITA,Italy,1986-01-01,0.2
JPN,Japan,1986-01-01,-4.7
KOR,"Korea, Rep.",1986-01-01,-1.5
LUX,Luxembourg,1986-01-01,-1.6
MEX,Mexico,1986-01-01,86.7
NLD,Netherlands,1986-01-01,-10.2
NOR,Norway,1986-01-01,-3.4
NZL,New Zealand,1986-01-01,5.8
PRT,Portugal,1986-01-01,1.7
SGP,Singapore,1986-01-01,-14.8
SWE,Sweden,1986-01-01,-2.8
THA,Thailand,1986-01-01,-0.4
TTO,Trinidad and Tobago,1986-01-01,6.5
TWN,"Taiwan, China",1986-01-01,-3.3
URY,Uruguay,1986-01-01,67.2
USA,United States,1986-01-01,-2.9
ZAF,South Africa,1986-01-01,18.9
ZMB,Zambia,1986-01-01,106.8
AUS,Australia,1987-01-01,7.3
BEL,Belgium,1987-01-01,-5.0
BGR,Bulgaria,1987-01-01,-0.3
CAF,Central African Republic,1987-01-01,0.7
CAN,Canada,1987-01-01,2.8
CHE,Switzerland,1987-01-01,-0.7
COL,Colombia,1987-01-01,24.9
DEU,Germany,1987-01-01,-2.5
DNK,Denmark,1987-01-01,-0.2
ESP,Spain,1987-01-01,0.8
FIN,Finland,1987-01-01,0.9
GAB,Gabon,1987-01-01,2.4
GBR,United Kingdom,1987-01-01,3.4
HUN,Hungary,1987-01-01,2.9
IND,India,1987-01-01,6.4
IRL,Ireland,1987-01-01,2.4
ISR,Israel,1987-01-01,18.5
ITA,Italy,1987-01-01,3.0
JPN,Japan,1987-01-01,-3.1
KOR,"Korea, Rep.",1987-01-01,0.4
LUX,Luxembourg,1987-01-01,-6.5
MEX,Mexico,1987-01-01,141.4
MYS,Malaysia,1987-01-01,3.7
NLD,Netherlands,1987-01-01,-2.6
NOR,Norway,1987-01-01,3.6
NZL,New Zealand,1987-01-01,7.9
PER,Peru,1987-01-01,58.3
POL,Poland,1987-01-01,26.5
PRT,Portugal,1987-01-01,1.1
SGP,Singapore,1987-01-01,2.2
SWE,Sweden,1987-01-01,2.8
THA,Thailand,1987-01-01,5.9
TTO,Trinidad and Tobago,1987-01-01,4.0
TUR,Turkey,1987-01-01,31.9
TWN,"Taiwan, China",1987-01-01,-3.3
URY,Uruguay,1987-01-01,63.2
USA,United States,1987-01-01,2.6
ZAF,South Africa,1987-01-01,14.4
ZMB,Zambia,1987-01-01,101.3
AUS,Australia,1988-01-01,9.1
AUT,Austria,1988-01-01,-0.2
BEL,Belgium,1988-01-01,1.6
BGR,Bulgaria,1988-01-01,2.0
CAN,Canada,1988-01-01,4.3
CHE,Switzerland,1988-01-01,2.1
COL,Colombia,1988-01-01,28.3
DEU,Germany,1988-01-01,1.3
DNK,Denmark,1988-01-01,3.9
ESP,Spain,1988-01-01,3.0
FIN,Finland,1988-01-01,4.1
GBR,United Kingdom,1988-01-01,3.7
HUN,Hungary,1988-01-01,5.4
IND,India,1988-01-01,7.2
IRL,Ireland,1988-01-01,4.1
ISR,Israel,1988-01-01,17.6
ITA,Italy,1988-01-01,3.5
JPN,Japan,1988-01-01,-0.5
KOR,"Korea, Rep.",1988-01-01,2.7
LUX,Luxembourg,1988-01-01,2.6
MEX,Mexico,1988-01-01,105.3
MLT,Malta,1988-01-01,3.5
